,FB_VIX_預測,FB_VIX_實際,誤差
0,8.317784833639342,7.69,0.6277848336393417
1,7.5274653770938755,7.8,-0.2725346229061243
2,7.277698596107007,7.83,-0.5523014038929928
3,7.21876704907241,7.58,-0.3612329509275902
4,7.138853851568442,7.67,-0.5311461484315583
5,5.818460551705869,7.01,-1.1915394482941304
6,6.402260440528547,6.75,-0.34773955947145296
7,6.518600189831234,7.42,-0.9013998101687664
8,5.641901509599342,7.05,-1.4080984904006577
9,4.299467788287876,7.13,-2.830532211712124
10,5.9523097575248824,8.0,-2.0476902424751176
11,6.276474269451555,8.36,-2.0835257305484447
12,5.785178231430679,8.0,-2.214821768569321
13,6.072203782555672,8.18,-2.107796217444328
14,5.181107355355416,7.34,-2.1588926446445837
15,5.013161571336463,7.04,-2.0268384286635373
16,4.908530140550279,6.85,-1.9414698594497208
17,4.903379517928409,6.48,-1.5766204820715917
18,5.631461425700747,7.58,-1.9485385742992527
19,5.994121828595057,7.17,-1.1758781714049427
20,6.055830532885894,7.0,-0.9441694671141061
21,6.076122227806929,7.01,-0.9338777721930711
22,5.731090246286338,6.62,-0.8889097537136621
23,5.154648361767176,6.23,-1.0753516382328243
24,5.301525785227965,6.09,-0.7884742147720347
25,6.114990548290052,6.53,-0.4150094517099481
26,6.361558002174833,7.17,-0.8084419978251667
27,6.667300346408954,6.83,-0.1626996535910461
28,5.877048625378309,6.52,-0.6429513746216902
29,5.84424401074733,6.24,-0.3957559892526703
